behavior,crossing_ids,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,lead_car_v,lead_car_x,lead_car_y,lead_car_yaw,perc_count,perc_full,perc_near_x,t
,-,NO_PATH,1.96140574e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.1:0.06:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.00:0;5:43.5:-25.6:6.0:6.0:0.04:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28436670237583,15.82
,-,NO_PATH,7.60650003e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.01:0;5:43.5:-25.7:6.0:6.0:0.15:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284243999955805,15.840000000000002
,-,NO_PATH,7.3060146e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.01:0;5:43.5:-25.7:6.0:6.0:0.15:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284243999955805,15.860000000000001
,-,NO_PATH,7.3060146e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.01:0;5:43.5:-25.7:6.0:6.0:0.15:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284243999955805,15.88
,-,NO_PATH,-1.53974951e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.01:0;5:43.5:-25.7:6.0:6.0:0.15:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284243999955805,15.9
,-,NO_PATH,-1.53974951e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.2:0.2:0.01:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.01:0;5:43.5:-25.7:6.0:6.0:0.15:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284243999955805,15.920000000000002
,-,NO_PATH,9.89569925e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.3:0.2:0.01:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.01:0;5:43.5:-25.7:6.0:6.0:0.21:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28394577114173,15.940000000000001
,-,NO_PATH,1.2288219e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.3:0.2:0.01:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.01:0;5:43.5:-25.7:6.0:6.0:0.21:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28394577114173,15.96
,-,NO_PATH,1.2288219e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.3:0.2:0.01:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.01:0;5:43.5:-25.7:6.0:6.0:0.21:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28394577114173,15.98
,-,NO_PATH,9.52560019e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.3:0.2:0.01:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.01:0;5:43.5:-25.7:6.0:6.0:0.21:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28394577114173,16.0
