topic,key,t_s,value
/planning/diagnostics,cycle_ms,71.6,0.034224
/control/diagnostics,cycle_time_ms,71.6,0.0
/control/diagnostics,cycle_time_ms,71.62,0.0
/control/diagnostics,cycle_time_ms,71.64,0.0
/control/diagnostics,cycle_time_ms,71.66,0.0
/control/diagnostics,cycle_time_ms,71.68,0.0
/control/diagnostics,cycle_time_ms,71.7,0.0
/planning/diagnostics,cycle_ms,71.7,0.034314
/control/diagnostics,cycle_time_ms,71.72,0.0
/control/diagnostics,cycle_time_ms,71.74,0.0
/control/diagnostics,cycle_time_ms,71.76,0.0
/control/diagnostics,cycle_time_ms,71.78,0.0
/planning/diagnostics,cycle_ms,71.8,0.063478
/control/diagnostics,cycle_time_ms,71.8,0.0
/control/diagnostics,cycle_time_ms,71.82,0.0
/control/diagnostics,cycle_time_ms,71.842,0.0
/control/diagnostics,cycle_time_ms,71.86,0.0
/control/diagnostics,cycle_time_ms,71.88,0.0
/planning/diagnostics,cycle_ms,71.9,0.037439
/control/diagnostics,cycle_time_ms,71.9,0.0
/control/diagnostics,cycle_time_ms,71.92,0.0
/control/diagnostics,cycle_time_ms,71.94,0.0
/control/diagnostics,cycle_time_ms,71.96,0.0
/control/diagnostics,cycle_time_ms,71.98,0.0
/planning/diagnostics,cycle_ms,72.0,0.071744
/control/diagnostics,cycle_time_ms,72.0,0.0
/control/diagnostics,cycle_time_ms,72.02,0.0
/control/diagnostics,cycle_time_ms,72.04,0.0
/perception/diagnostics,ground_ms,72.0,4.070881
/perception/diagnostics,cluster_ms,72.0,16.437742
/perception/diagnostics,fit_ms,72.0,2.521209
/perception/diagnostics,track_ms,72.0,0.086451
/perception/diagnostics,total_ms,72.0,23.231739
/control/diagnostics,cycle_time_ms,72.06,0.0
/control/diagnostics,cycle_time_ms,72.08,0.0
/planning/diagnostics,cycle_ms,72.1,0.034824
/control/diagnostics,cycle_time_ms,72.1,0.0
/control/diagnostics,cycle_time_ms,72.12,0.0
/control/diagnostics,cycle_time_ms,72.14,0.0
/control/diagnostics,cycle_time_ms,72.16,0.0
